2015-08-24 10:32:11,682 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-08-24 10:32:11,682 [6] INFO  Umbraco.Core.PluginManager - [T7/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 0ms)
2015-08-24 10:33:13,182 [6] INFO  umbraco.BusinessLogic.Log - [T11/D2] Log scrubbed.  Removed all items older than 2015-06-25 10:33:13
2015-08-24 10:37:03,369 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [XmlCacheFilePersister] Terminating
2015-08-24 10:37:03,369 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [XmlCacheFilePersister] Waiting for tasks to complete
2015-08-24 10:37:03,372 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [LogScrubber] Terminating
2015-08-24 10:37:03,372 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [LogScrubber] Waiting for tasks to complete
2015-08-24 10:37:03,376 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [LogScrubber] Tasks completed, terminated
2015-08-24 10:37:03,397 [6] INFO  umbraco.content - [T8/D2] Save Xml to file...
2015-08-24 10:37:03,401 [6] INFO  umbraco.content - [T25/D2] Saved Xml to file.
2015-08-24 10:37:03,405 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T12/D2] [XmlCacheFilePersister] Tasks completed, terminated
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledPublishing] Terminating
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledPublishing] Waiting for tasks to complete
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledPublishing] Tasks completed, terminated
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledTasks] Terminating
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledTasks] Waiting for tasks to complete
2015-08-24 10:37:03,505 [6] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T21/D2] [ScheduledTasks] Tasks completed, terminated
2015-08-24 10:37:03,507 [6] INFO  Umbraco.Core.UmbracoApplicationBase - [T21/D2] Application shutdown. Reason: CodeDirChangeOrDirectoryRename
2015-08-24 10:47:38,752 [30] INFO  Umbraco.Core.CoreBootManager - [T15/D7] Umbraco application starting
2015-08-24 10:47:38,802 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Determining hash of code files on disk
2015-08-24 10:47:38,810 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Hash determined (took 6ms)
2015-08-24 10:47:38,819 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-08-24 10:47:38,965 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 145ms)
2015-08-24 10:47:39,044 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-08-24 10:47:39,047 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
2015-08-24 10:47:39,047 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-08-24 10:47:39,050 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 2ms)
2015-08-24 10:47:39,066 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-08-24 10:47:39,068 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 7 (took 2ms)
2015-08-24 10:47:39,068 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-08-24 10:47:39,072 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 38 (took 3ms)
2015-08-24 10:47:39,105 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-08-24 10:47:39,107 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 2ms)
2015-08-24 10:47:39,108 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-08-24 10:47:39,110 [30] INFO  Umbraco.Core.PluginManager - [T15/D7] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
